Enrichment,Caps
0,0
1,25
2,25
3,35
4,38
5,24
6,30
7,55
8,34
9,32
10,32
11,40
12,20
13,32
14,37
15,10
16,20
17,35
18,25
19,36
20,30
21,35
22,30
23,28
24,30
25,35
26,25
27,30
28,30
29,40
30,35
31,33
32,36
33,38
34,30
35,45
36,33
37,30
38,36
39,35
40,25
41,34
42,36
43,25
44,35
